,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
58,Hilo,90,US,1539312780,69,19.71,-155.08,80.06,3.36
59,Morondava,20,MG,1539317899,99,-20.3,44.28,72.18,3.71
60,Tiksi,44,RU,1539317900,98,71.64,128.87,29.21,3.94
61,Santa Cruz de Tenerife,0,ES,1539316800,100,28.47,-16.25,69.8,2.24
62,Portobelo,40,PA,1539313200,94,9.55,-79.65,75.2,3.36
63,Lodja,80,CD,1539317900,98,-3.52,23.6,68.0,1.59
64,Sol-Iletsk,0,RU,1539317900,77,51.16,55.0,35.91,11.54
65,Ponta do Sol,24,BR,1539317900,64,-20.63,-46.0,72.99,10.65
66,Avarua,92,CK,1539316800,69,-21.21,-159.78,75.2,14.99
67,Kodiak,90,US,1539316380,92,39.95,-94.76,44.96,2.93
68,Atuona,76,PF,1539317901,100,-9.8,-139.03,79.92,18.03
69,Port Augusta,0,AU,1539316800,29,-32.49,137.76,78.8,14.99
70,Ostrovnoy,12,RU,1539317901,89,68.05,39.51,28.26,11.43
71,Mar del Plata,0,AR,1539317902,51,-46.43,-67.52,48.38,13.0
72,Omsukchan,48,RU,1539317902,79,62.53,155.8,29.16,3.6
73,Fort Morgan,12,US,1539316800,91,40.25,-103.8,39.2,4.7
74,Elizabeth City,90,US,1539316740,92,36.3,-76.22,71.96,23.04
75,Muros,75,ES,1539316800,82,42.77,-9.06,60.8,19.46
76,Dikson,80,RU,1539317903,100,73.51,80.55,32.0,20.83
77,Paamiut,0,GL,1539317903,100,61.99,-49.67,35.19,28.77
78,Lavrentiya,88,RU,1539317903,100,65.58,-170.99,42.93,19.15
79,East London,40,ZA,1539313200,67,-33.02,27.91,62.6,9.17
80,Athabasca,80,CA,1539317903,81,54.72,-113.29,35.64,8.97
81,Victor Harbor,0,AU,1539316800,27,-35.55,138.62,77.0,14.99
82,Kozulka,0,UA,1539316800,87,50.04,23.8,50.0,8.95
83,Gizo,40,IL,1539316200,73,31.8,34.94,75.2,2.24
84,Antigonish,90,CA,1539316800,100,45.62,-61.99,41.0,11.41
85,Norman Wells,75,CA,1539316800,79,65.28,-126.83,28.4,4.7
86,Lebu,0,ET,1539317905,79,8.96,38.73,39.78,3.6
87,Gorontalo,36,ID,1539317636,72,0.54,123.06,84.78,2.71
88,Punta Arenas,0,CL,1539313200,70,-53.16,-70.91,44.6,17.22
89,Mandi Bahauddin,0,PK,1539317905,78,32.58,73.49,67.86,5.39
90,Pevek,0,RU,1539317905,100,69.7,170.27,33.8,5.95
91,Denzlingen,32,DE,1539316800,87,48.07,7.89,55.4,2.24
92,Kuri,8,NG,1539317905,87,12.59,3.83,73.8,3.27
93,Nosy Varika,92,MG,1539317906,100,-20.58,48.53,69.39,6.62
94,Shelby,36,US,1539317626,80,48.51,-111.86,30.78,6.06
95,Codrington,92,AU,1539317906,95,-28.95,153.24,61.83,6.4
96,Belomorsk,48,RU,1539317906,100,64.52,34.76,39.33,6.51
97,Constitucion,40,MX,1539312180,36,23.99,-104.67,62.6,10.29
98,Coquimbo,0,CL,1539313200,81,-29.95,-71.34,50.0,6.51
99,Carnarvon,92,ZA,1539317907,43,-30.97,22.13,56.48,8.75
100,Mataura,92,NZ,1539317907,67,-46.19,168.86,43.7,19.04
101,Palmerston,90,CA,1539316800,70,43.83,-80.85,46.4,17.22
102,Port Alfred,92,ZA,1539317908,100,-33.59,26.89,62.28,12.1
103,Klaksvik,32,FO,1539316200,93,62.23,-6.59,48.2,9.17
104,Kavaratti,80,IN,1539317908,99,10.57,72.64,83.79,10.09
105,Chuy,100,UY,1539317911,100,-33.69,-53.46,51.8,8.3
106,Tuy Hoa,92,VN,1539317912,100,13.08,109.3,78.8,10.2
107,Orlik,0,RU,1539317912,73,52.51,99.83,27.86,2.48
108,Te Anau,88,NZ,1539317912,89,-45.41,167.72,35.19,11.1
109,Airai,0,TL,1539317912,32,-8.93,125.41,88.25,1.7
110,The Valley,20,AI,1539313200,78,18.22,-63.06,82.4,9.17
111,Umm Kaddadah,0,SD,1539317912,26,13.6,26.69,71.73,12.77
112,Marzuq,0,YE,1539317912,49,14.4,46.47,49.68,1.36
113,Bekhtery,36,UA,1539317913,100,46.25,32.3,50.94,11.43
114,Hohhot,0,CN,1539313200,25,40.81,111.65,51.8,2.24
115,La Tuque,92,CA,1539317913,99,47.44,-72.79,51.71,5.95
116,Uvat,92,RU,1539317914,95,59.14,68.9,33.93,11.77
117,Iqaluit,40,CA,1539316800,78,63.75,-68.52,14.0,9.17
118,Minot,44,US,1539317735,83,48.23,-101.3,24.35,3.15
119,Mahebourg,40,MU,1539313200,64,-20.41,57.7,73.4,16.11
120,Tuktoyaktuk,90,CA,1539316800,92,69.44,-133.03,23.0,6.93
121,Primorsko-Akhtarsk,0,RU,1539317915,100,46.05,38.18,53.91,16.13
122,Nikolskoye,90,RU,1539315000,93,59.7,30.79,44.6,4.47
123,Kampong Thum,0,KH,1539317915,87,12.71,104.89,84.87,4.94
124,Brae,92,GB,1539316200,100,60.4,-1.35,53.6,16.11
125,San Cristobal,40,EC,1539313200,76,-0.39,-78.55,50.0,8.05
126,Doha,0,QA,1539315000,66,25.29,51.53,89.6,6.93
127,Amot,80,NO,1539317916,96,59.57,7.99,45.45,2.37
128,Kargat,44,RU,1539317916,61,55.19,80.28,47.66,17.13
129,Laguna,92,MX,1539317916,66,27.52,-110.01,75.33,2.15
130,Norden,12,DE,1539316500,77,53.59,7.21,60.8,10.29
131,Axim,92,GH,1539317916,99,4.87,-2.24,78.8,8.86
132,Moussoro,0,TD,1539317917,65,13.64,16.49,66.11,2.82
133,Provideniya,75,RU,1539315000,87,64.42,-173.23,42.8,17.9
134,Blagoyevo,88,RU,1539317917,83,63.37,47.92,34.83,9.98
135,Jumla,0,NP,1539317917,83,29.28,82.18,38.25,1.81
136,Saint-Augustin,0,FR,1539316800,93,44.83,-0.61,62.6,8.05
137,Avera,1,US,1539316800,75,33.19,-82.53,69.98,5.82
138,College,90,US,1539316680,99,64.86,-147.8,39.02,2.24
139,Nanortalik,20,GL,1539317918,95,60.14,-45.24,33.98,28.88
140,Sinnamary,20,GF,1539317918,94,5.38,-52.96,81.09,13.89
141,General Pico,92,AR,1539317918,92,-35.66,-63.75,51.75,10.54
142,Pisco,90,PE,1539313200,88,-13.71,-76.2,64.4,16.11
143,Riyadh,5,SA,1539313200,40,24.63,46.72,69.8,2.24
144,Gubkinskiy,92,RU,1539317919,99,64.43,76.5,39.33,9.75
145,Iguape,92,BR,1539317919,100,-24.7,-47.56,67.28,11.77
146,Maniitsoq,0,GL,1539317919,100,65.42,-52.9,18.81,6.62
147,Majagual,64,CO,1539317919,98,8.54,-74.63,71.46,1.48
148,Lundazi,68,ZM,1539317919,73,-12.29,33.17,67.91,8.86
149,Sorland,0,NO,1539316200,76,67.67,12.69,51.8,3.36
150,Anadyr,75,RU,1539315000,89,64.73,177.51,39.2,15.66
151,Tatarskaya Pishlya,0,RU,1539317920,92,54.06,44.9,32.4,8.19
152,Cabinda,88,AO,1539317920,100,-5.56,12.19,75.78,6.96
153,Aksarka,0,RU,1539317920,85,66.56,67.8,24.71,12.33
154,Isiro,68,CD,1539317921,98,2.77,27.62,64.8,2.04
155,Clyde River,75,CA,1539316800,78,70.47,-68.59,14.0,6.17
156,Barrow,92,AR,1539317857,47,-38.31,-60.23,51.26,6.85
157,Hounde,32,BF,1539317921,83,11.5,-3.52,75.56,2.82
158,Port-Gentil,80,GA,1539317921,100,-0.72,8.78,77.36,6.17
159,Mehriz,20,IR,1539313200,36,31.58,54.44,60.8,4.7
160,Antofagasta,75,CL,1539313200,87,-23.65,-70.4,59.0,5.82
161,Ler,0,NO,1539316200,62,63.2,10.3,55.4,9.17
162,Necochea,92,AR,1539317684,68,-38.55,-58.74,49.41,11.21
163,Corn Island,0,NI,1539317922,100,12.17,-83.04,83.66,7.4
164,Talnakh,88,RU,1539317922,90,69.49,88.39,30.78,21.27
165,Fairbanks,90,US,1539316680,99,64.84,-147.72,39.02,2.24
166,Dekar,0,BW,1539317922,36,-21.53,21.93,63.05,6.96
167,Rodez,0,FR,1539316800,77,44.35,2.57,62.6,16.11
168,Gat,0,SN,1539317923,85,14.69,-16.54,76.95,6.4
169,Thompson,5,CA,1539316800,67,55.74,-97.86,19.4,4.94
170,Surt,44,LY,1539317923,100,31.21,16.59,70.92,9.86
171,Galveston,1,US,1539315300,75,40.58,-86.19,42.44,6.93
172,Novyy Urgal,0,RU,1539317924,70,51.07,132.56,45.18,3.6
173,Osias,12,PH,1539317924,47,7.1,124.85,93.11,3.27
174,Namatanai,24,PG,1539317924,98,-3.66,152.44,84.87,7.74
175,Baker City,1,US,1539316380,78,44.77,-117.83,37.94,3.36
176,Yulara,0,AU,1539316800,37,-25.24,130.99,84.2,11.41
177,Puerto Ayora,0,EC,1539317924,100,-0.74,-90.35,70.29,12.88
178,Leh,76,IN,1539317925,66,34.16,77.58,17.82,2.04
179,Santiago del Estero,100,AR,1539317925,100,-27.8,-64.26,54.36,12.21
180,Bartica,0,GY,1539313200,100,6.41,-58.62,75.2,2.24
181,Elko,1,US,1539316560,12,40.83,-115.76,41.0,4.7
182,Kota Kinabalu,75,MY,1539316800,66,5.98,116.07,91.4,4.7
183,Ojinaga,92,US,1539317925,26,29.56,-104.41,73.31,6.4
184,Hofn,32,IS,1539317926,97,64.25,-15.21,46.76,14.12
185,Victoria,75,BN,1539316800,70,5.28,115.24,91.4,3.36
186,Marawi,44,PH,1539317926,89,8.0,124.29,78.53,1.81
187,Nargana,80,PA,1539317926,100,9.44,-78.59,78.57,5.73
188,Pontianak,75,ID,1539316800,83,-0.02,109.34,82.4,3.83
189,Ancud,24,CL,1539317927,84,-41.87,-73.83,39.96,2.71
190,Port Elizabeth,90,US,1539317160,96,39.31,-74.98,75.92,11.41
191,Yazd,20,IR,1539313200,36,31.89,54.36,60.8,4.7
192,Torbay,40,CA,1539316800,69,47.66,-52.73,33.8,6.93
193,Port Macquarie,90,AU,1539316800,82,-31.43,152.91,60.8,13.87
194,Touros,88,BR,1539317928,93,-5.2,-35.46,75.65,14.34
195,Luena,20,AO,1539317928,58,-11.78,19.91,56.7,3.83
196,Carauari,80,BR,1539317928,100,-4.88,-66.9,72.9,4.94
197,Ankang,12,CN,1539317928,44,32.73,108.99,60.48,2.59
198,Yumen,0,CN,1539317928,47,40.29,97.04,45.72,5.39
199,Dudinka,92,RU,1539317928,88,69.41,86.18,31.59,21.83
200,Evensk,76,RU,1539317929,100,61.92,159.24,41.18,4.72
201,Rome,40,IT,1539316500,93,41.89,12.48,64.4,2.24
202,Agadez,0,NE,1539317929,25,16.97,7.99,72.68,8.08
203,North Myrtle Beach,1,US,1539316560,84,33.83,-78.68,77.36,4.7
204,Naze,40,NG,1539313200,100,5.43,7.07,73.4,3.04
205,Shaghat,40,AM,1539316800,71,39.57,45.91,57.2,4.7
206,Predivinsk,44,RU,1539317930,61,57.07,93.44,40.1,4.72
207,Hithadhoo,48,MV,1539317930,98,-0.6,73.08,84.15,4.72
208,Pacific Grove,1,US,1539315300,67,36.62,-121.92,60.98,3.36
209,Luanda,75,AO,1539316800,83,-8.83,13.24,75.2,5.82
210,Etchoropo,64,MX,1539317930,76,26.77,-109.67,79.65,3.6
211,Uribia,88,CO,1539317760,97,11.71,-72.27,76.1,5.17
212,Dunedin,92,NZ,1539317888,85,-45.87,170.5,38.66,17.13
213,Ondjiva,0,AO,1539317931,27,-17.07,15.73,60.53,7.74
214,Grindavik,75,IS,1539315000,81,63.84,-22.43,42.8,23.04
215,Moree,64,AU,1539317931,81,-29.46,149.84,68.81,13.44
216,Ayan,12,TR,1539317931,88,40.67,33.6,33.93,2.15
217,Svetlogorsk,40,RU,1539315000,80,53.14,59.15,33.8,6.71
218,Port-Cartier,90,CA,1539316800,92,50.03,-66.88,30.2,13.87
219,Foundiougne,0,SN,1539313200,88,14.13,-16.47,82.4,6.93
220,Whitehorse,75,CA,1539313200,86,60.72,-135.06,33.8,2.24
221,Christchurch,76,NZ,1539316800,65,-43.53,172.64,44.6,24.16
222,Cherskiy,48,RU,1539317932,96,68.75,161.3,26.64,2.04
223,Vila Velha,0,BR,1539316800,78,-3.71,-38.6,78.8,11.41
224,Tripoli,40,GR,1539316200,71,37.51,22.37,57.2,9.17
225,Puerto del Rosario,0,ES,1539316800,83,28.5,-13.86,71.6,6.93
226,Bezhta,44,RU,1539317933,92,42.13,46.13,43.25,1.59
227,Porto Walter,24,BR,1539317933,95,-8.27,-72.74,74.48,1.92
228,Bandarbeyla,0,SO,1539317933,94,9.49,50.81,75.24,9.64
229,Bethel,90,US,1539316380,79,60.79,-161.76,46.94,14.99
230,Tautira,75,PF,1539316800,69,-17.73,-149.15,80.6,4.7
231,Sao Filipe,0,CV,1539317934,95,14.9,-24.5,79.7,10.31
232,Melfi,20,IT,1539316500,93,41.0,15.66,57.2,5.82
233,Northam,92,GB,1539312600,82,51.04,-4.21,59.0,16.11
234,Bafq,0,IR,1539317934,54,31.6,55.4,49.59,1.92
235,Ixtapa,75,MX,1539312420,74,20.71,-105.21,82.4,3.36
236,Lagoa,75,PT,1539316800,94,37.14,-8.45,68.0,3.36
237,Angoche,0,MZ,1539317935,100,-16.23,39.91,76.91,6.4
238,Kalmunai,68,LK,1539317935,93,7.42,81.82,79.02,8.63
239,Kahului,40,US,1539317160,74,20.89,-156.47,80.96,13.87
240,Saldanha,24,PT,1539317936,95,41.42,-6.55,51.39,6.51
241,Cascas,24,PE,1539317936,80,-7.48,-78.82,44.01,0.81
242,Makat,0,KZ,1539317936,73,47.65,53.35,39.83,12.77
243,Guiberoua,88,CI,1539317936,95,6.24,-6.17,74.03,4.94
244,Aklavik,90,CA,1539316800,92,68.22,-135.01,24.8,5.82
245,Kevsala,0,RU,1539317937,86,45.79,42.68,41.49,6.96
246,Richards Bay,80,ZA,1539317937,86,-28.77,32.06,68.58,14.56
247,Mezen,88,RU,1539317937,94,65.85,44.24,38.88,10.54
248,Tuatapere,88,NZ,1539317937,100,-46.13,167.69,44.01,19.15
249,Dera Bugti,0,PK,1539317937,40,29.03,69.15,66.96,5.95
250,Marrakesh,0,MA,1539315000,77,31.63,-7.99,64.4,6.93
251,Chapais,90,CA,1539317400,100,49.78,-74.86,41.0,2.24
252,Ponta Delgada,75,PT,1539316800,88,37.73,-25.67,71.6,23.04
253,Buala,68,SB,1539317938,88,-8.15,159.59,84.78,5.73
254,Puerto Cabezas,8,NI,1539317938,100,14.04,-83.39,82.13,5.17
255,Orthez,32,FR,1539316800,93,43.49,-0.77,59.0,3.36
256,Salalah,75,OM,1539312600,66,17.01,54.1,84.2,21.92
257,Cavnic,0,RO,1539316800,76,47.65,23.83,48.2,9.17
258,Point Pedro,0,LK,1539317939,100,9.82,80.23,81.36,12.66
259,Mvuma,0,ZW,1539317939,62,-19.28,30.53,51.26,3.49
260,Lawton,90,US,1539316560,74,34.61,-98.39,59.0,6.93
261,Kihei,40,US,1539317160,74,20.76,-156.45,80.96,13.87
262,Kamyshevatskaya,0,RU,1539317939,100,46.41,37.96,57.78,21.72
263,Tias,0,ES,1539316800,83,28.96,-13.65,71.6,8.05
264,Vieux-Habitants,0,GP,1539315000,94,16.06,-61.77,77.0,4.7
265,Penzance,90,GB,1539316200,100,50.12,-5.53,57.2,29.97
266,Yakovlevka,0,RU,1539317940,63,44.43,133.47,48.78,6.73
267,Tottori,40,JP,1539313200,52,35.5,134.23,66.2,12.75
268,Maracaibo,40,CO,1539313200,73,3.41,-75.78,71.6,9.17
269,Sioux Lookout,90,CA,1539317700,92,50.1,-91.92,28.4,9.17
270,Filingue,0,NE,1539317941,67,14.35,3.32,75.33,5.95
271,Catalina,40,CO,1539313200,100,8.86,-75.38,73.4,1.92
272,Chokurdakh,80,RU,1539317941,93,70.62,147.9,23.18,3.71
273,Flin Flon,0,CA,1539317941,100,54.77,-101.88,27.86,6.06
274,Champerico,90,MX,1539312600,88,16.38,-93.6,73.4,1.92
275,Bertoua,36,CM,1539317942,95,4.58,13.68,66.51,6.85
276,Gumla,88,IN,1539317942,99,23.04,84.54,71.96,7.63
277,La Asuncion,80,EC,1539317942,97,-1.64,-78.74,46.53,1.48
278,Tura,92,IN,1539317942,98,25.52,90.21,70.43,5.73
279,Sorong,32,ID,1539317942,100,-0.86,131.25,80.46,4.27
280,Luderitz,64,NA,1539313200,55,-26.65,15.16,62.6,28.86
281,Jaisalmer,0,IN,1539317943,41,26.91,70.91,73.76,11.77
282,Severo-Kurilsk,92,RU,1539317943,95,50.68,156.12,48.78,13.78
283,Arraial do Cabo,92,BR,1539317943,98,-22.97,-42.02,73.17,4.5
284,Kon Tum,8,VN,1539317943,65,14.36,108.0,79.38,6.29
285,Ternate,40,PH,1539316800,70,14.29,120.72,87.8,4.7
286,Komsomolskiy,92,RU,1539317944,96,67.55,63.78,31.77,17.25
287,Tecoanapa,90,MX,1539312660,94,16.99,-99.26,77.0,4.7
288,San Quintin,20,PH,1539316800,62,17.54,120.52,89.6,6.93
289,Otrado-Kubanskoye,0,RU,1539317944,77,45.25,40.84,49.86,9.19
290,Coahuayana,8,MX,1539317944,91,18.62,-100.35,65.52,2.15
291,Adrar,0,DZ,1539316800,49,27.87,-0.29,69.8,4.7
292,Banamba,24,ML,1539317945,70,13.55,-7.45,76.32,4.38
293,Abalak,0,NE,1539317945,70,15.46,6.28,70.43,2.71
294,Marystown,64,CA,1539317895,100,47.17,-55.16,34.65,6.51
295,Mount Isa,44,AU,1539316800,18,-20.73,139.49,89.6,5.82
296,Kampot,12,KH,1539317945,83,10.62,104.18,83.48,8.3
297,Djambala,92,CG,1539317945,99,-2.55,14.76,68.58,7.29
298,Esil,64,KZ,1539317946,91,51.96,66.41,36.45,8.41
299,Hasaki,75,JP,1539315000,82,35.73,140.83,68.0,9.17
300,Nawashahr,0,IN,1539317946,82,31.12,76.13,65.21,4.27
301,Baturaja,32,ID,1539317946,55,-4.12,104.17,89.6,3.27
302,Oktyabrskiy,0,RU,1539315000,84,55.61,37.97,33.8,4.47
303,Balabac,44,PH,1539317946,98,7.99,117.06,85.23,9.86
304,Oktyabrskoye,8,RU,1539317947,53,56.73,85.44,45.95,9.64
305,Kruisfontein,100,ZA,1539317947,100,-34.0,24.73,59.85,12.44
306,Belinskiy,0,RU,1539317947,93,52.97,43.41,33.48,7.07
307,Pitrufquen,0,CL,1539317947,97,-38.98,-72.65,38.75,3.38
308,Vazhiny,48,RU,1539317947,97,60.96,34.04,42.21,7.96
309,Alofi,68,NU,1539317948,100,-19.06,-169.92,77.18,19.71
310,Talas,0,TR,1539316200,75,38.69,35.55,46.4,1.12
311,Cidreira,68,BR,1539317948,76,-30.17,-50.22,63.95,17.58
312,Cabo San Lucas,5,MX,1539312360,78,22.89,-109.91,77.0,9.19
313,Tabas,0,IR,1539313200,29,33.6,56.92,60.8,6.93
314,North Platte,90,US,1539316380,85,41.12,-100.77,39.92,4.7
315,Praia da Vitoria,40,PT,1539316800,83,38.73,-27.07,69.8,36.37
316,Yaan,64,NG,1539317949,96,7.38,8.57,72.99,7.74
317,Selma,1,US,1539316560,54,36.57,-119.61,68.0,8.05
318,Barra do Garcas,48,BR,1539317692,82,-15.89,-52.26,73.89,4.94
319,Shelburne,20,CA,1539316800,65,44.08,-80.2,50.0,11.41
320,Bluefields,64,NI,1539317949,96,12.01,-83.77,75.11,2.26
321,Chabahar,0,IR,1539317950,100,25.29,60.65,76.91,5.17
322,Talara,0,PE,1539317950,89,-4.58,-81.27,62.37,5.06
323,Saquarema,90,BR,1539313200,100,-22.93,-42.51,73.4,10.29
324,Madona,0,LV,1539317705,98,56.85,26.22,45.45,6.85
325,Merauke,48,ID,1539317950,65,-8.49,140.4,88.47,8.08
326,Luwuk,12,ID,1539317950,92,-0.95,122.79,81.9,3.6
327,Maceio,0,BR,1539316800,94,-9.67,-35.74,69.8,4.7
328,Rocha,92,UY,1539317707,99,-34.48,-54.34,46.17,8.63
329,Dno,0,RU,1539317951,82,57.83,29.97,37.71,6.4
330,Berlevag,75,NO,1539312600,93,70.86,29.09,39.2,2.24
331,Gambela,0,ET,1539317951,86,8.25,34.59,59.18,3.15
332,Montepuez,0,MZ,1539317951,94,-13.13,39.0,62.33,2.82
333,San Patricio,80,PY,1539317951,96,-26.98,-56.83,71.51,3.71
334,Guanare,24,VE,1539317952,89,9.04,-69.74,75.38,2.59
335,Vao,8,EE,1539317952,97,59.1,26.19,47.97,5.95
336,Minsk,20,BY,1539316620,90,53.9,27.56,32.0,2.24
337,Diego de Almagro,8,CL,1539317952,92,-26.39,-70.05,52.43,2.15
338,Bowen,75,AU,1539316800,51,-20.01,148.25,84.2,8.05
339,Faya,0,SA,1539313200,36,18.39,42.45,60.8,4.38
340,Jarabacoa,75,DO,1539313200,94,19.12,-70.64,77.0,6.93
341,Boyolangu,0,ID,1539317953,40,-8.09,111.9,89.46,4.16
342,Prince Rupert,90,CA,1539317040,93,54.32,-130.32,50.0,11.41
343,Atar,48,MR,1539317953,44,20.52,-13.05,75.24,4.16
344,Trincomalee,32,LK,1539317953,90,8.58,81.23,79.38,5.61
345,Kavieng,68,PG,1539317953,99,-2.57,150.8,86.04,9.31
346,Tumsar,0,IN,1539317954,77,21.38,79.75,76.59,7.29
347,Xuddur,0,SO,1539317954,78,4.12,43.89,69.26,9.98
348,Toppenish,1,US,1539316380,79,46.38,-120.31,46.04,5.82
349,Ugra,0,RU,1539317954,79,54.78,34.32,33.12,2.59
350,Moindou,20,NC,1539316800,57,-21.69,165.68,80.6,10.29
351,Santa Maria,75,BR,1539313200,77,-29.69,-53.81,62.6,13.87
352,Ketchikan,90,US,1539316560,86,55.34,-131.65,51.08,13.87
353,Sechura,0,PE,1539317955,89,-5.56,-80.82,64.76,10.2
354,Waingapu,0,ID,1539317956,51,-9.65,120.26,89.96,7.18
355,Klyuchi,24,RU,1539317956,51,52.25,79.17,47.21,14.79
356,Pekalongan,8,ID,1539317956,100,-6.89,109.67,82.76,0.36
357,Yelizovo,76,RU,1539315000,62,53.19,158.38,51.8,11.18
358,Egvekinot,88,RU,1539317956,77,66.32,-179.17,33.21,11.65
359,Cartagena,0,ES,1539316800,93,37.63,-1.0,62.6,3.36
360,Chimoio,0,MZ,1539316800,88,-19.11,33.48,66.2,2.15
361,Quevedo,68,EC,1539317957,100,-1.02,-79.47,60.08,0.92
362,Tahe,12,CN,1539317957,52,52.34,124.71,54.9,3.49
363,Filadelfia,32,PY,1539317957,93,-22.35,-60.04,70.11,2.59
364,Nichinan,75,JP,1539313200,45,31.65,131.31,66.2,4.7
365,Montana,12,BG,1539317957,86,43.41,23.22,40.73,2.15
366,Road Town,1,VG,1539312780,84,18.42,-64.62,80.06,4.7
367,Haines Junction,32,CA,1539317958,84,60.75,-137.51,29.3,2.15
368,Lata,0,IN,1539317958,72,30.78,78.62,51.12,2.04
369,Mogoytuy,8,RU,1539317958,49,51.28,114.93,55.71,4.16
370,Synya,92,RU,1539317958,84,65.37,58.04,32.04,12.33
371,Puerto Colombia,75,CO,1539313200,94,10.99,-74.96,77.0,4.94
372,Dwarka,0,IN,1539315000,57,28.58,77.04,75.2,5.82
373,Lasa,40,CY,1539316800,64,34.92,32.53,68.0,8.05
374,Goya,76,AR,1539317959,70,-29.14,-59.27,68.58,17.47
375,Qaqortoq,40,GL,1539316200,58,60.72,-46.03,24.8,2.24
